city,date,vacancy_rate_pct,property_drawdown_pct,cap_rate_expansion_pp,impact_institutional_z,impact_small_business_tenants_z,impact_urban_workers_z
San Francisco,2024-12-31,21.16159616228319,0.0,-0.11041344433078137,-2.2443596167939166,-1.104034094691795,-2.258439006443187
New York,2024-12-31,20.01652122185878,-0.14037759359478708,-0.1408950146842214,-0.8605551125451154,-0.5676812151906412,-1.589192100632258
Washington DC,2024-12-31,20.868119209487887,-0.2910631391055518,-0.036626409548970784,-0.6396709903383451,-1.2777265691949324,-2.1956539189306077
